PC,Feature,Loading
PC1,baseline_map,-0.0651583358935946
PC1,mean_map,-0.116351307658547
PC1,min_map,-0.168031257074875
PC1,max_map,-0.00186657952716471
PC1,time_weighted_avg_map,-0.114448318476456
PC1,delta_map,0.000849625615627403
PC1,max_decrease,0.017924101117587
PC1,arv,0.0375185050568304
PC1,map_sd,0.0432644142571331
PC1,map_cv,0.0897615422333895
PC1,map_range,0.0513834951603758
PC1,measurement_rate_per_min,0.0326914459163309
PC1,fraction_time_below_65,0.207401047892563
PC1,fraction_time_below_55,0.895627812581392
PC1,aut_65_per_min,0.236190666399506
PC1,episodes_below_65_per_hour,0.110937117300845
PC1,fraction_time_above_120,-0.0968255405551405
PC1,fraction_time_above_140,-0.000404651264311371
PC1,aat_120_per_min,-0.0489536678405872
PC1,episodes_above_120_per_hour,-0.0219892888684957
PC2,baseline_map,-0.166855946916312
PC2,mean_map,-0.199798927347638
PC2,min_map,0.00654705673843275
PC2,max_map,-0.212180468089186
PC2,time_weighted_avg_map,-0.199243480378102
PC2,delta_map,0.0646023507885119
PC2,max_decrease,-0.148774244039358
PC2,arv,-0.156726609273023
PC2,map_sd,-0.234211425281809
PC2,map_cv,-0.19209934911541
PC2,map_range,-0.174562220056047
PC2,measurement_rate_per_min,-0.0377121453388773
PC2,fraction_time_below_65,0.0421068755609532
PC2,fraction_time_below_55,-0.120880261416826
PC2,aut_65_per_min,0.000996354896030477
PC2,episodes_below_65_per_hour,0.0123652371342199
PC2,fraction_time_above_120,-0.616430806875972
PC2,fraction_time_above_140,-0.0041329739445699
PC2,aat_120_per_min,-0.457074215947973
PC2,episodes_above_120_per_hour,-0.259800939237256
PC3,baseline_map,0.379044820413935
PC3,mean_map,-0.106411619609339
PC3,min_map,-0.170727027782415
PC3,max_map,0.0907223070776703
PC3,time_weighted_avg_map,-0.114520174647554
PC3,delta_map,-0.503118262152005
PC3,max_decrease,0.593517747081077
PC3,arv,0.0311930836590514
PC3,map_sd,0.111944781550246
PC3,map_cv,0.157124424303253
PC3,map_range,0.144804293029061
PC3,measurement_rate_per_min,0.0338578294396114
PC3,fraction_time_below_65,0.0880553247073169
PC3,fraction_time_below_55,-0.157078201972082
PC3,aut_65_per_min,0.0528537590538697
PC3,episodes_below_65_per_hour,0.0860604333434137
PC3,fraction_time_above_120,-0.270418191734682
PC3,fraction_time_above_140,-0.00134403713425294
PC3,aat_120_per_min,-0.111163761576981
PC3,episodes_above_120_per_hour,-0.0264082257410875
PC4,baseline_map,-0.321634186686135
PC4,mean_map,-0.157544520557125
PC4,min_map,-0.39924421388464
PC4,max_map,0.318021704456206
PC4,time_weighted_avg_map,-0.139357292189588
PC4,delta_map,0.269282822940594
PC4,max_decrease,-0.168067444147674
PC4,arv,-0.0109921840006429
PC4,map_sd,0.159889443616741
PC4,map_cv,0.227657701586277
PC4,map_range,0.345766919249036
PC4,measurement_rate_per_min,0.223171777382101
PC4,fraction_time_below_65,0.167938290738826
PC4,fraction_time_below_55,-0.30591032396903
PC4,aut_65_per_min,0.145676818628092
PC4,episodes_below_65_per_hour,0.244006018218548
PC4,fraction_time_above_120,-0.144641320735751
PC4,fraction_time_above_140,0.000639748803141159
PC4,aat_120_per_min,0.10412484051739
PC4,episodes_above_120_per_hour,0.0991695525316616
PC5,baseline_map,0.0374756787080802
PC5,mean_map,0.296974059677363
PC5,min_map,0.00167033217572216
PC5,max_map,0.309399234346841
PC5,time_weighted_avg_map,0.299645434537687
PC5,delta_map,0.14583266718229
PC5,max_decrease,0.00569799931219253
PC5,arv,0.0195773205526821
PC5,map_sd,0.153034931603129
PC5,map_cv,0.0599005074363978
PC5,map_range,0.249086513777704
PC5,measurement_rate_per_min,0.0977742818421699
PC5,fraction_time_below_65,-0.490565929771688
PC5,fraction_time_below_55,0.200227587139734
PC5,aut_65_per_min,-0.251895604284896
PC5,episodes_below_65_per_hour,-0.213096952730792
PC5,fraction_time_above_120,-0.434892298375769
PC5,fraction_time_above_140,-0.00272951314555234
PC5,aat_120_per_min,-0.154874382733861
PC5,episodes_above_120_per_hour,0.0430904853539588
