Center,Variable,Cohort_N,Nonmissing_N,Missing_N,Missing_percent
MOVER,RCRI,21164,14429,6735,31.8229068229068
MOVER,Age,21164,21164,0,0
MOVER,Male,21164,21164,0,0
MOVER,BMI,21164,18718,2446,11.5573615573616
MOVER,ASA,21164,21139,25,0.118125118125118
MOVER,Surgical_type,21164,21164,0,0
MOVER,Hypertension,21164,21164,0,0
MOVER,ACEI_ARB,21164,21164,0,0
MOVER,Beta_blocker,21164,21164,0,0
MOVER,CCB,21164,21164,0,0
MOVER,Diuretic,21164,21164,0,0
MOVER,Frailty,21164,10382,10782,50.945000945001
INSPIRE,RCRI,85064,84679,385,0.452600394996708
INSPIRE,Age,85064,85064,0,0
INSPIRE,Male,85064,85064,0,0
INSPIRE,BMI,85064,83806,1258,1.47888648546976
INSPIRE,ASA,85064,85064,0,0
INSPIRE,Surgical_type,85064,85064,0,0
INSPIRE,Hypertension,85064,85064,0,0
INSPIRE,ACEI_ARB,85064,85064,0,0
INSPIRE,Beta_blocker,85064,85064,0,0
INSPIRE,CCB,85064,85064,0,0
INSPIRE,Diuretic,85064,85064,0,0
INSPIRE,Frailty,85064,77552,7512,8.83099783692279
