Center,Outcome,Analysis,Comparison,Analysis_N,Events,Unique_patients,OR,CI_low,CI_high,P_value,OR_95CI
MOVER,Major adverse cardiac events,Primary complete-case; model-based SE,Labile Hypotension vs Stable Hemodynamics,13724,327,9305,2.14442750877949,1.60889099117279,2.85822306522962,1.95124418625544e-07,2.14 (1.61-2.86)
MOVER,Major adverse cardiac events,Primary complete-case; model-based SE,Labile Hypertension vs Stable Hemodynamics,13724,327,9305,0.932926264168048,0.673546187910218,1.29219262167447,0.676150534993341,0.93 (0.67-1.29)
MOVER,Major adverse cardiac events,Primary complete-case; patient-clustered robust SE,Labile Hypotension vs Stable Hemodynamics,13724,327,9305,2.14442750877949,1.56975865431632,2.92947538640139,1.64173159477819e-06,2.14 (1.57-2.93)
MOVER,Major adverse cardiac events,Primary complete-case; patient-clustered robust SE,Labile Hypertension vs Stable Hemodynamics,13724,327,9305,0.932926264168048,0.658842705907102,1.32103065962647,0.695637668678836,0.93 (0.66-1.32)
MOVER,Major adverse cardiac events,First eligible operation per patient,Labile Hypotension vs Stable Hemodynamics,8647,194,8647,1.88568993083399,1.2912211774017,2.75384773536942,0.00102779755623992,1.89 (1.29-2.75)
MOVER,Major adverse cardiac events,First eligible operation per patient,Labile Hypertension vs Stable Hemodynamics,8647,194,8647,0.810583010558346,0.533077332199636,1.23255065882218,0.326030137871228,0.81 (0.53-1.23)
MOVER,Major adverse cardiac events,Reduced adjustment excluding RCRI,Labile Hypotension vs Stable Hemodynamics,18694,380,13117,2.36551171064693,1.81917077710257,3.07593202553531,1.31024910232656e-10,2.37 (1.82-3.08)
MOVER,Major adverse cardiac events,Reduced adjustment excluding RCRI,Labile Hypertension vs Stable Hemodynamics,18694,380,13117,0.958179360904804,0.714284565893034,1.28535282925521,0.775612806535971,0.96 (0.71-1.29)
MOVER,Acute kidney injury,Primary complete-case; model-based SE,Labile Hypotension vs Stable Hemodynamics,13724,2485,9305,1.21859371081552,1.04739136146866,1.41778010270861,0.0104838800626435,1.22 (1.05-1.42)
MOVER,Acute kidney injury,Primary complete-case; model-based SE,Labile Hypertension vs Stable Hemodynamics,13724,2485,9305,0.968741142881476,0.852820354146487,1.10041862550353,0.62526924842499,0.97 (0.85-1.10)
MOVER,Acute kidney injury,Primary complete-case; patient-clustered robust SE,Labile Hypotension vs Stable Hemodynamics,13724,2485,9305,1.21859371081552,1.04875832753151,1.41593214857646,0.00983183301074185,1.22 (1.05-1.42)
MOVER,Acute kidney injury,Primary complete-case; patient-clustered robust SE,Labile Hypertension vs Stable Hemodynamics,13724,2485,9305,0.968741142881476,0.849124205258485,1.10520863272956,0.636712545405949,0.97 (0.85-1.11)
MOVER,Acute kidney injury,First eligible operation per patient,Labile Hypotension vs Stable Hemodynamics,8647,1486,8647,1.1948921165293,0.983676751517968,1.4514597076129,0.0727871322180987,1.19 (0.98-1.45)
MOVER,Acute kidney injury,First eligible operation per patient,Labile Hypertension vs Stable Hemodynamics,8647,1486,8647,0.961467136698877,0.82051411706536,1.12663394294568,0.627088969027194,0.96 (0.82-1.13)
MOVER,Acute kidney injury,Reduced adjustment excluding RCRI,Labile Hypotension vs Stable Hemodynamics,18694,2924,13117,1.29696425781618,1.13211094255224,1.48582283133887,0.000177521776960316,1.30 (1.13-1.49)
MOVER,Acute kidney injury,Reduced adjustment excluding RCRI,Labile Hypertension vs Stable Hemodynamics,18694,2924,13117,0.998547408556119,0.893624493021471,1.1157896128863,0.979525086188398,1.00 (0.89-1.12)
MOVER,Severe acute liver injury,Primary complete-case; model-based SE,Labile Hypotension vs Stable Hemodynamics,13724,129,9305,2.16164809707637,1.42826309099224,3.27161187953663,0.000266450434813551,2.16 (1.43-3.27)
MOVER,Severe acute liver injury,Primary complete-case; model-based SE,Labile Hypertension vs Stable Hemodynamics,13724,129,9305,0.353425868497052,0.170041143652851,0.734586005713455,0.00533112922412563,0.35 (0.17-0.73)
MOVER,Severe acute liver injury,Primary complete-case; patient-clustered robust SE,Labile Hypotension vs Stable Hemodynamics,13724,129,9305,2.16164809707637,1.46020017448589,3.20005611370311,0.00011742882726288,2.16 (1.46-3.20)
MOVER,Severe acute liver injury,Primary complete-case; patient-clustered robust SE,Labile Hypertension vs Stable Hemodynamics,13724,129,9305,0.353425868497052,0.170167727253024,0.734039565194204,0.00528465281337215,0.35 (0.17-0.73)
MOVER,Severe acute liver injury,First eligible operation per patient,Labile Hypotension vs Stable Hemodynamics,8647,72,8647,1.8914942795406,1.07654223053479,3.32337228216073,0.0266582901791765,1.89 (1.08-3.32)
MOVER,Severe acute liver injury,First eligible operation per patient,Labile Hypertension vs Stable Hemodynamics,8647,72,8647,0.429229559913065,0.181992510446917,1.01233844541587,0.0533610362903852,0.43 (0.18-1.01)
MOVER,Severe acute liver injury,Reduced adjustment excluding RCRI,Labile Hypotension vs Stable Hemodynamics,18694,129,13117,2.2745984907145,1.50416834912185,3.4396404478137,9.82913142001482e-05,2.27 (1.50-3.44)
MOVER,Severe acute liver injury,Reduced adjustment excluding RCRI,Labile Hypertension vs Stable Hemodynamics,18694,129,13117,0.352528081778875,0.169745913954478,0.7321298377528,0.005170632115119,0.35 (0.17-0.73)
MOVER,Pulmonary complications,Primary complete-case; model-based SE,Labile Hypotension vs Stable Hemodynamics,13724,469,9305,1.2478782773902,0.941952972253323,1.65316129472708,0.12276939586536,1.25 (0.94-1.65)
MOVER,Pulmonary complications,Primary complete-case; model-based SE,Labile Hypertension vs Stable Hemodynamics,13724,469,9305,0.89767786259375,0.686672972486281,1.17352157035274,0.429773483072439,0.90 (0.69-1.17)
MOVER,Pulmonary complications,Primary complete-case; patient-clustered robust SE,Labile Hypotension vs Stable Hemodynamics,13724,469,9305,1.2478782773902,0.925812626349046,1.68198202407669,0.145972541634235,1.25 (0.93-1.68)
MOVER,Pulmonary complications,Primary complete-case; patient-clustered robust SE,Labile Hypertension vs Stable Hemodynamics,13724,469,9305,0.89767786259375,0.63988484539531,1.25932900394454,0.531983966672387,0.90 (0.64-1.26)
MOVER,Pulmonary complications,First eligible operation per patient,Labile Hypotension vs Stable Hemodynamics,8647,214,8647,1.55328188213652,1.05879956179523,2.27869815254058,0.0243087997944288,1.55 (1.06-2.28)
MOVER,Pulmonary complications,First eligible operation per patient,Labile Hypertension vs Stable Hemodynamics,8647,214,8647,1.0833424360178,0.746341033595102,1.57251280694516,0.673704954902212,1.08 (0.75-1.57)
MOVER,Pulmonary complications,Reduced adjustment excluding RCRI,Labile Hypotension vs Stable Hemodynamics,18694,517,13117,1.27771184615936,0.975771495730058,1.67308388178988,0.0748001898462831,1.28 (0.98-1.67)
MOVER,Pulmonary complications,Reduced adjustment excluding RCRI,Labile Hypertension vs Stable Hemodynamics,18694,517,13117,0.912178144532869,0.710599711780958,1.17093907240412,0.470636862742829,0.91 (0.71-1.17)
MOVER,In-hospital death,Primary complete-case; model-based SE,Labile Hypotension vs Stable Hemodynamics,13724,277,9305,1.64031050945584,1.2002245832824,2.24176258752583,0.00190185294565055,1.64 (1.20-2.24)
MOVER,In-hospital death,Primary complete-case; model-based SE,Labile Hypertension vs Stable Hemodynamics,13724,277,9305,0.614887812783521,0.411070803082904,0.919761314776349,0.0179271508733727,0.61 (0.41-0.92)
MOVER,In-hospital death,Primary complete-case; patient-clustered robust SE,Labile Hypotension vs Stable Hemodynamics,13724,277,9305,1.64031050945584,1.18414713995572,2.27219952372801,0.00291427216568846,1.64 (1.18-2.27)
MOVER,In-hospital death,Primary complete-case; patient-clustered robust SE,Labile Hypertension vs Stable Hemodynamics,13724,277,9305,0.614887812783521,0.420135552403411,0.899916753406924,0.0123255570437531,0.61 (0.42-0.90)
MOVER,In-hospital death,First eligible operation per patient,Labile Hypotension vs Stable Hemodynamics,8647,133,8647,1.77556570195004,1.15179427228685,2.73714988674312,0.00932248307750702,1.78 (1.15-2.74)
MOVER,In-hospital death,First eligible operation per patient,Labile Hypertension vs Stable Hemodynamics,8647,133,8647,0.662657466608488,0.388986685945537,1.12886876059676,0.130022690413538,0.66 (0.39-1.13)
MOVER,In-hospital death,Reduced adjustment excluding RCRI,Labile Hypotension vs Stable Hemodynamics,18694,293,13117,1.73086278331957,1.27953984069434,2.34137764171145,0.000372025933748063,1.73 (1.28-2.34)
