Center,Outcome,Domain,Parameter,Display_name,Analysis_scale,Analysis_N,Events,OR,CI_low,CI_high,P_value,FDR_P,OR_95CI,P_formatted,FDR_formatted
MOVER,MACE,BP level,baseline_map,Baseline MAP,1 SD of untransformed feature,13724,327,0.820050207569166,0.73742033814283,0.911938969065945,0.000251064990806067,0.000549161929147203,0.82 (0.74-0.91),<0.001,<0.001
MOVER,MACE,BP level,mean_map,Mean MAP,1 SD of untransformed feature,13724,327,0.792653005550904,0.702690207966286,0.894133403434343,0.000156461658192708,0.000391154145481769,0.79 (0.70-0.89),<0.001,<0.001
MOVER,MACE,BP level,min_map,Minimum MAP,1 SD of untransformed feature,13724,327,0.705438523306693,0.630407427252014,0.789399820897395,1.18871435047359e-09,4.75485740189438e-09,0.71 (0.63-0.79),<0.001,<0.001
MOVER,MACE,BP level,max_map,Maximum MAP,1 SD of untransformed feature,13724,327,1.08394084802586,0.980527513167125,1.19826088125154,0.11511705140601,0.15348940187468,1.08 (0.98-1.20),0.115,0.153
MOVER,MACE,BP level,time_weighted_avg_map,Time-weighted average MAP,1 SD of untransformed feature,13724,327,0.800455875915581,0.710006195696198,0.90242819453077,0.000274580964573601,0.000549161929147203,0.80 (0.71-0.90),<0.001,<0.001
MOVER,MACE,BP level,delta_map,Mean minus baseline MAP,1 SD of untransformed feature,13724,327,1.11407113100769,1.0043180184858,1.23581819911589,0.0412082906100726,0.0633973701693425,1.11 (1.00-1.24),0.041,0.063
MOVER,MACE,BP level,max_decrease,Maximum decrease from baseline,1 SD of log1p-transformed feature,13724,327,0.987021588545255,0.892948413215158,1.09100548456841,0.798240362577795,0.840253013239784,0.99 (0.89-1.09),0.798,0.840
MOVER,MACE,BP variability / sampling,arv,Average real variability,1 SD of log1p-transformed feature,13724,327,0.773221643010221,0.684496248789647,0.873447751213547,3.53599477622375e-05,0.000101028422177821,0.77 (0.68-0.87),<0.001,<0.001
MOVER,MACE,BP variability / sampling,map_sd,MAP standard deviation,1 SD of log1p-transformed feature,13724,327,0.89101781946505,0.791248547448194,1.00336709263436,0.0568425370559785,0.0812036243656835,0.89 (0.79-1.00),0.057,0.081
MOVER,MACE,BP variability / sampling,map_cv,MAP coefficient of variation,1 SD of log1p-transformed feature,13724,327,0.967921848499625,0.860376435430483,1.08891023303558,0.587431271545085,0.691095613582452,0.97 (0.86-1.09),0.587,0.691
MOVER,MACE,BP variability / sampling,map_range,MAP range,1 SD of log1p-transformed feature,13724,327,1.20361178171204,1.0719668686004,1.35142359667093,0.00171307381373389,0.00311467966133434,1.20 (1.07-1.35),0.002,0.003
MOVER,MACE,BP variability / sampling,measurement_rate_per_min,Measurement rate,1 SD of log1p-transformed feature,13724,327,1.92428815081152,1.69199038453352,2.18847868238595,2.01692160669537e-23,4.03384321339074e-22,1.92 (1.69-2.19),<0.001,<0.001
MOVER,MACE,Hypotension burden,fraction_time_below_65,Fraction of time MAP <65,1 SD of log1p-transformed feature,13724,327,1.26897630469649,1.16026467154415,1.38787373379047,1.8576652023648e-07,6.19221734121599e-07,1.27 (1.16-1.39),<0.001,<0.001
MOVER,MACE,Hypotension burden,fraction_time_below_55,Fraction of time MAP <55,1 SD of log1p-transformed feature,13724,327,1.22793997979469,1.15225861146277,1.30859216757253,2.50557544653053e-10,1.25278772326527e-09,1.23 (1.15-1.31),<0.001,<0.001
MOVER,MACE,Hypotension burden,aut_65_per_min,Area under 65 per min,1 SD of log1p-transformed feature,13724,327,1.34132594407676,1.22738347503211,1.46584610665899,8.95869148075946e-11,8.95869148075946e-10,1.34 (1.23-1.47),<0.001,<0.001
