Center,Analysis,Comparison,Analysis_N,OR,CI_low,CI_high,P_value,OR_95CI,P_formatted
MOVER,Hypertension,Labile Hypotension vs Stable Hemodynamics,13724,1.07041242689707,0.921174408856274,1.2438282616625,0.374421976383516,1.07 (0.92-1.24),0.374
MOVER,Hypertension,Labile Hypertension vs Stable Hemodynamics,13724,1.77608346001366,1.5839701585002,1.99149740290623,7.97640249340656e-23,1.78 (1.58-1.99),<0.001
MOVER,ACEI_ARB,Labile Hypotension vs Stable Hemodynamics,3126,1.46683090283133,1.12562456928929,1.91146582635405,0.00456784372039472,1.47 (1.13-1.91),0.005
MOVER,ACEI_ARB,Labile Hypertension vs Stable Hemodynamics,3126,1.15508793959029,0.94642271890944,1.4097592138578,0.156102689434826,1.16 (0.95-1.41),0.156
MOVER,Beta_blocker,Labile Hypotension vs Stable Hemodynamics,3126,1.05258836529432,0.80960876752528,1.36849094426138,0.701907376337492,1.05 (0.81-1.37),0.702
MOVER,Beta_blocker,Labile Hypertension vs Stable Hemodynamics,3126,0.905331727666072,0.745181388643151,1.09990070821714,0.316675059755511,0.91 (0.75-1.10),0.317
MOVER,CCB,Labile Hypotension vs Stable Hemodynamics,3126,0.933244211424228,0.717516971549453,1.21383157847271,0.606460032045668,0.93 (0.72-1.21),0.606
MOVER,CCB,Labile Hypertension vs Stable Hemodynamics,3126,1.06379501884115,0.880431153495196,1.28534734103707,0.521717295361795,1.06 (0.88-1.29),0.522
MOVER,Diuretic,Labile Hypotension vs Stable Hemodynamics,3126,0.993886475393897,0.7183708918782,1.37507008863938,0.970466051662072,0.99 (0.72-1.38),0.970
MOVER,Diuretic,Labile Hypertension vs Stable Hemodynamics,3126,0.961467806982799,0.754428353839024,1.22532555829889,0.750793436941809,0.96 (0.75-1.23),0.751
INSPIRE,Hypertension,Labile Hypotension vs Stable Hemodynamics,83437,1.2963881693503,1.1809829597145,1.42307073256816,4.84314071832696e-08,1.30 (1.18-1.42),<0.001
INSPIRE,Hypertension,Labile Hypertension vs Stable Hemodynamics,83437,1.21582795115033,1.13566457578883,1.30164983421414,1.9573562125787e-08,1.22 (1.14-1.30),<0.001
INSPIRE,ACEI_ARB,Labile Hypotension vs Stable Hemodynamics,5453,1.78789754440002,1.35902258228823,2.35211516786531,3.29315016337385e-05,1.79 (1.36-2.35),<0.001
INSPIRE,ACEI_ARB,Labile Hypertension vs Stable Hemodynamics,5453,1.36733078297652,1.07021225809039,1.7469370734093,0.0123198357939973,1.37 (1.07-1.75),0.012
INSPIRE,Beta_blocker,Labile Hypotension vs Stable Hemodynamics,5453,1.3968042025611,1.06848600115474,1.826006122854,0.0145028010836809,1.40 (1.07-1.83),0.015
INSPIRE,Beta_blocker,Labile Hypertension vs Stable Hemodynamics,5453,0.909327068661967,0.704876365021505,1.17307908001163,0.464477001296872,0.91 (0.70-1.17),0.464
INSPIRE,CCB,Labile Hypotension vs Stable Hemodynamics,5453,0.807869178722909,0.642715176396675,1.01546164444018,0.0674739425219808,0.81 (0.64-1.02),0.067
INSPIRE,CCB,Labile Hypertension vs Stable Hemodynamics,5453,0.680817413196058,0.564287633440845,0.821411497687132,5.97045405832475e-05,0.68 (0.56-0.82),<0.001
INSPIRE,Diuretic,Labile Hypotension vs Stable Hemodynamics,5453,1.35442900647587,0.972273509617509,1.88679205535991,0.0728530654254713,1.35 (0.97-1.89),0.073
INSPIRE,Diuretic,Labile Hypertension vs Stable Hemodynamics,5453,1.11490362628428,0.814053817351442,1.52693847680247,0.497859582874877,1.11 (0.81-1.53),0.498
